sku,uid,category_slug,category_ru,title,url,price,image_count,first_image,description
LC0002,549038027891,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-549038027891-dekorativnaya-kompozitsiya,,15,https://static.tildacdn.com/tild6462-6435-4532-a232-653634336462/7.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0006,188371328241,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-188371328241-dekorativnaya-kompozitsiya,,18,https://static.tildacdn.com/tild3037-3034-4639-b136-386565663664/10034.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0004,422377055401,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-422377055401-svetovaya-kompozitsiya,,5,https://static.tildacdn.com/tild3738-6538-4537-b162-313734353539/4.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0005,943291223831,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-943291223831-dekorativnaya-kompozitsiya,,6,https://static.tildacdn.com/tild3033-6434-4532-b562-323161306530/1.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0007,497231753521,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-497231753521-dekorativnaya-kompozitsiya,,23,https://static.tildacdn.com/tild3133-6533-4264-b665-393132316365/10013.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0001,766916353081,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-766916353081-dekorativnaya-kompozitsiya,,6,https://static.tildacdn.com/tild3037-3836-4337-b765-633666316237/2.jpg,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0010,249694773851,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-249694773851-dekorativnaya-kompozitsiya,,4,https://static.tildacdn.com/tild3839-6534-4262-b133-343338336237/10002.png,"Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0008,261074842531,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-261074842531-svetovaya-kompozitsiya,,4,https://static.tildacdn.com/tild6632-3230-4363-a432-303661646565/10000.png,"Цена указана за один элемент H200-400мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0013,387277308361,decorative-compositions,Декоративные композиции,Декоративная композиция,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-387277308361-dekorativnaya-kompozitsiya,,15,https://static.tildacdn.com/tild6431-3235-4934-a662-393137303565/10000.png,"Цена указана за один элемент D250-260мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
LC0012,529793865681,lighting-compositions,Световые композиции,Световая композиция,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-529793865681-svetovaya-kompozitsiya,,8,https://static.tildacdn.com/tild6233-3434-4665-b037-386665323064/10007.png,"Цена указана за один элемент L 250-350мм, D30мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композиции, стоимости производства и доставки, обращайтесь в WhatsApp Гарантия распространяется только на оригинальный товар 3D модель (max, fbx) в реальном производственном размере: скачать 3d модель"
