sku,category,category_label,title,url,image_count,first_image,description
LC0003,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-393862307791-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3137-6163-4433-b863-383666663339/w444.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0006,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-188371328241-dekorativnaya-kompozitsiya,18,https://static.tildacdn.com/tild3037-3034-4639-b136-386565663664/10034.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0008,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-261074842531-svetovaya-kompozitsiya,4,https://static.tildacdn.com/tild6632-3230-4363-a432-303661646565/10000.png,"Price shown is per single element H200-400mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0002,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-549038027891-dekorativnaya-kompozitsiya,15,https://static.tildacdn.com/tild6462-6435-4532-a232-653634336462/7.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0004,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-422377055401-svetovaya-kompozitsiya,5,https://static.tildacdn.com/tild3738-6538-4537-b162-313734353539/4.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0009,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-193057638261-svetovaya-kompozitsiya,5,https://static.tildacdn.com/tild3633-3862-4032-b165-313162616238/5.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0011,sculptural-decor,Sculptural compositions & decor,Wall composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-616457691041-nastennaya-kompozitsiya,3,https://static.tildacdn.com/tild3032-6365-4234-a162-363437623864/10004.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0012,lighting-compositions,Lighting compositions,Lighting composition,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-529793865681-svetovaya-kompozitsiya,8,https://static.tildacdn.com/tild6233-3434-4665-b037-386665323064/10007.png,"Price shown is per single element L 250-350mm, D30mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0014,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-947287655091-dekorativnaya-kompozitsiya,16,https://static.tildacdn.com/tild3439-6636-4632-b232-313731643961/20.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0015,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-902089357611-dekorativnaya-kompozitsiya,7,https://static.tildacdn.com/tild6534-3862-4630-a535-336337346461/79n99b5.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0007,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-497231753521-dekorativnaya-kompozitsiya,23,https://static.tildacdn.com/tild3133-6533-4264-b665-393132316365/10013.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0013,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-387277308361-dekorativnaya-kompozitsiya,15,https://static.tildacdn.com/tild6431-3235-4934-a662-393137303565/10000.png,"Price shown is per single element D250-260mm Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0017,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-735021916171-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3265-3862-4463-a261-636532373564/6764v8.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0010,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-249694773851-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3839-6534-4262-b133-343338336237/10002.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0020,sculptural-decor,Sculptural compositions & decor,Decorative composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-785103412361-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3436-6532-4237-a531-393032376561/10001.png,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0019,sculptural-decor,Sculptural compositions & decor,Wall composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-753129988171-nastennaya-kompozitsiya,2,https://static.tildacdn.com/tild6263-3062-4737-b238-333737356136/4.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0016,decorative-compositions,Decorative compositions,Decorative composition,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-451510117251-dekorativnaya-kompozitsiya,7,https://static.tildacdn.com/tild6135-3935-4631-b133-323261656166/7bv7vv8.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
LC0022,sculptural-decor,Sculptural compositions & decor,Decorative composition,https://vargov.ru/decor_and_sculptural_compositions_vargovdesign_ru/tproduct/727172771-800086666181-dekorativnaya-kompozitsiya,4,https://static.tildacdn.com/tild3231-3337-4165-b835-303534333931/3c5.jpg,"Custom-made compositions in any size and any number of elements To calculate the number of elements needed for your desired composition size, as well as production and delivery cost, please contact us via WhatsApp The warranty applies only to the original product 3D model (max, fbx) at actual production scale: download the 3D model"
