priority_reason,sku,url,category,current_description,material,dimensions,color,light_temperature,wattage_voltage,weight_kg,notes
award-winning SKU (no detailed specs yet),LC0217,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-371033491511-svetovaya-kompozitsiya,lighting-compositions,Цена указана за один погонный метр ленты L1000мм W300мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным разме,,,,,,,
award-winning SKU (no detailed specs yet),LC0236,https://vargov.ru/decorative_compositions_vargovdesign_ru/tproduct/727030675-188510271031-dekorativnaya-kompozitsiya,decorative-compositions,Цена указана за один элемент 250мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной вам композ,,,,,,,
award-winning SKU (no detailed specs yet),LC0343,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-978476161481-svetovaya-kompozitsiya,lighting-compositions,"Цена указана за один элемент L200мм, D150мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной в",,,,,,,
award-winning SKU (no detailed specs yet),LC0342,https://vargov.ru/lighting_compositions_vargovdesign_ru/tproduct/725740400-997617925181-svetovaya-kompozitsiya,lighting-compositions,Цена указана за один элемент 350X350X350мм Изготовление композиций любого размера из любого количества элементов на заказ Для расчета необходимого количества элементов по габаритным размерам нужной ва,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-212938893182-svetovaya-kompozitsiya-lc0218,showroom-items,"Характеристики композиции LC0218 Размер композиции: L1680мм, W640мм, Н1430мм Размер элемента: D90мм, Н350мм Количество элементов в композиции: 60шт. Цвет: янтарные (44шт.), бесцветные (16шт.) Материал",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-234661451062-svetovaya-kompozitsiya-lc0282,showroom-items,"Характеристики композиции LC0282 Размер композиции: D1850мм, Н3000мм Размер элемента: H250мм Количество элементов в композиции: 100шт. Цвет: белая эмаль/зеркальное золото Материал элемента: керамика Д",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-172654861122-svetovaya-kompozitsiya-lc0298,showroom-items,"Характеристики композиции LC0298 Размер композиции: D1450мм, Н2160мм Размер элемента: L250мм Количество элементов в композиции: 70шт. Цвет: микс 50/50, золото/прозрачные бесцветные Материал элемента: ",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-772967826842-svetovaya-kompozitsiya-lc0433,showroom-items,"Характеристики композиции LC0433 Размер композиции: D1200мм, Н2000мм Размер элемента: D200мм Количество элементов в композиции: 35шт. Цвет: прозрачные бесцветные с пузырьками воздуха Материал элемента",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-538361402832-svetovaya-kompozitsiya-lc0365,showroom-items,"Характеристики композиции LC0365 Размер композиции: D1200мм, Н2050мм Размер элемента: H300мм Количество элементов в композиции: 45шт. Цвет: микс 70/30, белая эмаль/прозрачный янтарь Материал элемента:",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-924729097312-svetovaya-kompozitsiya-lc0310,showroom-items,"Характеристики композиции LC0310 Размер композиции: D800мм, Н1500мм Размер элемента: H250мм Количество элементов в композиции: 80шт. Цвет: микс 50/50, черная эмаль/зеркальное золото Материал элемента:",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-482767782522-nastennaya-svetovaya-kompozitsiya-lc0495,showroom-items,"Характеристики композиции LC0495 Размер композиции: L2030мм, W880мм Размер элементов (микс): D100,150,200,250мм Количество элементов в композиции: 30шт. Цвет: хром/золото Материал элемента: стекло Дио",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-407154384152-nastolnii-art-obekt-lc0357,showroom-items,Характеристики светильника LC0357 Размер элемента: D300мм Цвет: прозрачный бесцветный Материал элемента: стекло Диоды: G4 3W 220V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-310225621252-svetovaya-kompozitsiya-lc0435,showroom-items,"Элемент: композиция LC0435 Размер элемента: D200мм, H266мм Цвет элемента: прозрачные бесцветные с пузырьками воздуха Материал элемента: стекло Диоды: G4 1.5W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-991713946112-svetovoi-element-lc0137,showroom-items,"Элемент: композиция LC0137 Размер элемента: D60мм, H350мм Цвет элемента: прозрачный бесцветный, янтарный Материал элемента: хрусталь Диоды: G4 3W 12V 3000K",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-381753378112-svetovoi-element-lc0478,showroom-items,Элемент: композиция LC0478 Размер элемента: H500мм Цвет элемента: прозрачный бесцветный Материал элемента: хрусталь Диоды: G4 3W 12V 3000K,,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-639189206022-nastennaya-svetovaya-kompozitsiya-lc0258,showroom-items,"Характеристики композиции LC0258 Размер композиции: D1050мм, W130мм Размер элементов (микс): D100,120,150,180мм Количество элементов в композиции: 40шт. Цвет: синий бирюзовый Материал элемента: стекло",,,,,,,
showroom item (partial specs already on site),,https://vargov.ru/official_showroom_vargovdesign/tproduct/1876430811-796979818002-svetovoi-element-lc0334,showroom-items,Элемент: композиция LC0334 Размер элемента: D300мм Цвет элемента: прозрачный бесцветный Материал элемента: стекло Диоды: G4 1.5W 12V 3000K,,,,,,,
